Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
2012-04-22,MountGambier,15.0,18.9,4.2,6.6,8.0,NNW,54.0,NNW,NW,24.0,31.0,73.0,64.0,1005.2,1003.7,4.0,5.0,17.3,17.6,Yes
2008-03-30,Sydney,13.1,26.8,0.0,4.6,10.9,,,W,WNW,22.0,15.0,61.0,22.0,1013.0,1009.0,0.0,1.0,16.9,25.9,No
2011-12-10,Melbourne,19.0,29.0,,11.0,5.6,N,59.0,N,N,39.0,22.0,50.0,38.0,1006.5,1003.4,,,24.2,27.2,
2013-03-27,Richmond,18.1,32.2,0.0,2.1,,NE,30.0,,NE,0.0,17.0,99.0,51.0,1019.2,1014.6,,,20.9,31.6,No
2010-10-25,Sydney,13.9,19.6,14.0,1.2,5.4,SSW,50.0,SW,S,17.0,22.0,90.0,64.0,,1018.4,7.0,6.0,15.5,19.1,Yes
2010-06-27,Albury,0.6,11.9,0.2,,,W,22.0,SW,NW,2.0,11.0,99.0,54.0,1024.3,1021.8,1.0,2.0,2.8,11.5,No
2015-11-22,PerthAirport,21.8,36.2,0.0,12.2,11.9,E,61.0,NNE,NW,31.0,30.0,14.0,12.0,1014.9,1013.2,6.0,0.0,31.2,33.4,No
2010-04-25,Wollongong,17.7,22.3,,,,SSE,54.0,,S,,37.0,,80.0,1012.8,1014.3,,7.0,,17.0,
2014-03-04,Richmond,18.4,25.7,2.6,1.2,,NE,24.0,,NNE,0.0,2.0,100.0,64.0,1026.5,1023.3,,,19.8,24.2,Yes
2010-02-25,GoldCoast,22.0,27.9,16.6,,,SSE,61.0,SSE,S,31.0,30.0,77.0,78.0,1021.4,1020.9,,,25.3,23.8,Yes
2015-06-23,Darwin,17.4,31.1,0.0,7.0,10.9,NNW,30.0,SSE,NW,11.0,17.0,65.0,41.0,1015.9,1012.2,1.0,4.0,24.0,30.6,No
2015-12-08,Witchcliffe,11.8,21.8,0.0,,,W,31.0,SW,WSW,13.0,19.0,66.0,69.0,1020.4,1019.3,,,17.4,19.5,No
2012-03-27,Brisbane,16.8,26.9,0.0,7.0,8.0,E,33.0,S,ESE,6.0,15.0,66.0,54.0,1021.6,1019.0,1.0,6.0,23.9,25.4,No
2009-10-13,Cobar,9.1,23.8,0.6,4.6,10.1,WSW,69.0,WNW,NW,15.0,35.0,33.0,19.0,1007.6,1003.3,0.0,4.0,16.6,22.4,No
